ID,Content,Rating,rating category
1,Why don't scientists trust atoms? Because they make up everything.,-1,awful
2,I'm reading a book about anti-gravity. It's impossible to put down.,-2,awful
3,What do you call a fake noodle? An impasta.,-3,abysmal
4,Why did the scarecrow win an award? He was outstanding in his field.,-14,abysmal
5,"I used to hate facial hair, but then it grew on me.",-11,abysmal
6,What do you call a bear with no teeth? A gummy bear.,-12,abysmal
7,Why don't eggs tell jokes? They'd crack each other up.,-13,abysmal
8,I'm afraid for the calendar. Its days are numbered.,-18,abysmal
9,"What did the ocean say to the beach? Nothing, it just waved.",-19,abysmal
10,Why do fathers take an extra pair of socks when they go golfing? In case they get a hole in one.,-20,abysmal
11,How does a penguin build its house? Igloos it together.,-1,awful
12,What time did the man go to the dentist? Tooth hurty.,-2,awful
13,Why did the math book look so sad? Because it had too many problems.,-3,abysmal
14,"What's the best thing about Switzerland? I don't know, but the flag is a big plus.",-4,abysmal
15,I only know 25 letters of the alphabet. I don't know y.,-5,abysmal
16,What do you call cheese that isn't yours? Nacho cheese.,-6,abysmal
17,Why couldn't the bicycle stand up by itself? It was two tired.,-7,abysmal
18,What did one wall say to the other wall? I'll meet you at the corner.,-8,abysmal
19,"I used to play piano by ear, but now I use my hands.",-9,abysmal
20,Why don't skeletons fight each other? They don't have the guts., 8,bad
